radius,metro,mega_region,country,continent,data_sources,time_period_start,time_period_end,years_data,surfaces_area_available,urban_centrality,gateway,area,number_mun,population_t0,density_pop_km2_t0,number_ware_t0,number_ware_per_popM_t0,number_ware_per_1000km2_t0,avg_size_ware_t0,gravity_t0,population_t1,density_pop_km2_t1,number_ware_t1,number_ware_per_popM_t1,number_ware_per_1000km2_t1,avg_size_ware_t1,gravity_t1,pop_change,gravity_change,number_ware_change,perc_ware_change,number_ware_per_popM_change,log_sprawl_measure
5,bordeaux,,France,Europe,"BDTOPO_IGN,SIREN",2008,2013,5,True,,,225.9,12,0.52,2283.55,16,31.0,7.083795571618619e-05,4063.91,4.88,0.56,2463.55,54,96.0,0.0002390058361835969,4673.25,5.09,0.040000000000000036,0.20999999999999996,38,237.5,65.0,0.041999999999999996
10,bordeaux,,France,Europe,"BDTOPO_IGN,SIREN",2008,2013,5,True,,,505.5,34,0.65,1290.05,26,40.0,5.1427203019250216e-05,5999.81,6.12,0.7,1393.68,80,114.0,0.00015825036020563577,5442.24,6.06,0.04999999999999993,-0.0600000000000005,54,207.6923076923077,74.0,-0.012000000000000099
15,bordeaux,,France,Europe,"BDTOPO_IGN,SIREN",2008,2013,5,True,,,1167.5,61,0.77,659.66,30,39.0,2.569105675980368e-05,5852.85,7.26,0.84,717.84,93,111.0,7.965724393185022e-05,5625.31,7.39,0.06999999999999995,0.1299999999999999,63,210.0,72.0,0.025999999999999978
20,bordeaux,,France,Europe,"BDTOPO_IGN,SIREN",2008,2013,5,True,,,1663.9,95,0.83,496.77,31,37.0,1.86343734929961e-05,5827.55,7.52,0.91,545.05,97,107.0,5.829777128824393e-05,5637.88,7.75,0.08000000000000007,0.23000000000000043,66,212.9032258064516,70.0,0.04600000000000008
25,bordeaux,,France,Europe,"BDTOPO_IGN,SIREN",2008,2013,5,True,,,2906.7,152,0.89,307.51,32,36.0,1.1009097634906188e-05,5709.25,7.93,0.99,341.11,99,100.0,3.405959532046528e-05,5553.68,8.08,0.09999999999999998,0.15000000000000036,67,209.375,64.0,0.030000000000000072
