radius,metro,mega_region,country,continent,data_sources,time_period_start,time_period_end,years_data,surfaces_area_available,urban_centrality,gateway,area,number_mun,population_t0,density_pop_km2_t0,number_ware_t0,number_ware_per_popM_t0,number_ware_per_1000km2_t0,avg_size_ware_t0,gravity_t0,population_t1,density_pop_km2_t1,number_ware_t1,number_ware_per_popM_t1,number_ware_per_1000km2_t1,avg_size_ware_t1,gravity_t1,pop_change,gravity_change,number_ware_change,perc_ware_change,number_ware_per_popM_change,log_sprawl_measure
5,lyon,,France,Europe,"BDTOPO_IGN,SIREN",2008,2023,15,True,,,166.0,14,0.82,4929.9,33,40.0,0.0001988668036324916,5294.38,3.47,1.16,6975.17,29,25.0,0.00017473411150777576,3598.66,4.62,0.33999999999999997,1.15,-4,-12.121212121212121,-15.0,0.07666666666666666
10,lyon,,France,Europe,"BDTOPO_IGN,SIREN",2008,2023,15,True,,,507.6,50,1.23,2437.05,79,64.0,0.00015648117338853756,5298.68,6.03,1.7,3352.14,100,59.0,0.00019700745529619513,4396.42,6.61,0.47,0.5800000000000001,21,26.582278481012654,-5.0,0.03866666666666667
15,lyon,,France,Europe,"BDTOPO_IGN,SIREN",2008,2023,15,True,,,939.4,94,1.46,1558.64,95,65.0,0.00010112269154440266,5598.12,7.05,2.11,2245.59,144,68.0,0.0001532837547820094,5439.66,8.11,0.6499999999999999,1.0599999999999996,49,51.578947368421055,3.0,0.07066666666666664
20,lyon,,France,Europe,"BDTOPO_IGN,SIREN",2008,2023,15,True,,,1664.6,148,1.69,1036.56,101,60.0,6.200333132561778e-05,5701.53,7.52,2.48,1491.0,173,70.0,0.00010392868625654931,6490.78,9.83,0.79,2.3100000000000005,72,71.28712871287128,10.0,0.15400000000000003
25,lyon,,France,Europe,"BDTOPO_IGN,SIREN",2008,2023,15,True,,,2386.7,216,1.91,802.14,118,62.0,4.9440055431413705e-05,6376.98,9.41,2.82,1181.97,233,83.0,9.762407825448895e-05,8925.48,11.75,0.9099999999999999,2.34,115,97.45762711864407,21.0,0.156
