radius,metro,mega_region,country,continent,data_sources,time_period_start,time_period_end,years_data,surfaces_area_available,urban_centrality,gateway,area,number_mun,population_t0,density_pop_km2_t0,number_ware_t0,number_ware_per_popM_t0,number_ware_per_1000km2_t0,avg_size_ware_t0,gravity_t0,population_t1,density_pop_km2_t1,number_ware_t1,number_ware_per_popM_t1,number_ware_per_1000km2_t1,avg_size_ware_t1,gravity_t1,pop_change,gravity_change,number_ware_change,perc_ware_change,number_ware_per_popM_change,log_sprawl_measure
5,lyon,,France,Europe,"BDTOPO_IGN,SIREN",2013,2023,10,True,,,166.0,14,0.89,5358.66,43,48.0,0.00025909000554313167,4744.62,3.87,1.16,6975.17,29,25.0,0.00017473411150777576,3598.66,4.62,0.2699999999999999,0.75,-14,-32.55813953488372,-23.0,0.075
10,lyon,,France,Europe,"BDTOPO_IGN,SIREN",2013,2023,10,True,,,507.6,50,1.33,2629.72,124,93.0,0.00024561379147310043,4872.91,6.29,1.7,3352.14,100,59.0,0.00019700745529619513,4396.42,6.61,0.3699999999999999,0.3200000000000003,-24,-19.35483870967742,-34.0,0.03200000000000003
15,lyon,,France,Europe,"BDTOPO_IGN,SIREN",2013,2023,10,True,,,939.4,94,1.59,1687.37,167,105.0,0.00017776657654659133,5382.95,7.49,2.11,2245.59,144,68.0,0.0001532837547820094,5439.66,8.11,0.5199999999999998,0.6199999999999992,-23,-13.77245508982036,-37.0,0.06199999999999992
20,lyon,,France,Europe,"BDTOPO_IGN,SIREN",2013,2023,10,True,,,1664.6,148,1.83,1125.66,182,99.0,0.00011173144899068581,5776.72,8.2,2.48,1491.0,173,70.0,0.00010392868625654931,6490.78,9.83,0.6499999999999999,1.6300000000000008,-9,-4.945054945054945,-29.0,0.1630000000000001
25,lyon,,France,Europe,"BDTOPO_IGN,SIREN",2013,2023,10,True,,,2386.7,216,2.08,872.92,224,108.0,9.385319130154298e-05,7604.11,9.95,2.82,1181.97,233,83.0,9.762407825448895e-05,8925.48,11.75,0.7399999999999998,1.8000000000000007,9,4.017857142857143,-25.0,0.18000000000000008
